Notes,State of Residence,State of Residence Code,2023 Metro/Nonmetro,2023 Metro/Nonmetro Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Source of Payment for Delivery,Source of Payment for Delivery Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Births
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,At least one checked,0,151
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,7336
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Other,4,At least one checked,0,137
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Other,4,None checked,1,6251
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,101
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,627
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,42529
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,1160
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,79737
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,At least one checked,0,106
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,7711
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,132
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,6814
,Arizona,4,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,138
,Arizona,4,Metro,Metro,Unknown or Not Stated,9,Medicaid,1,At least one checked,0,14
,Arizona,4,Metro,Metro,Unknown or Not Stated,9,Medicaid,1,None checked,1,666
,Arizona,4,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,At least one checked,0,11
,Arizona,4,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,897
,Arizona,4,Metro,Metro,Unknown or Not Stated,9,Self Pay,3,None checked,1,130
,Arizona,4,Metro,Metro,Unknown or Not Stated,9,Other,4,None checked,1,74
,Arizona,4,Metro,Metro,Unknown or Not Stated,9,Unknown or Not Stated,9,None checked,1,37
,Arizona,4,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,43
,Arizona,4,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,2295
,Arizona,4,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,18
,Arizona,4,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,1170
