"Notes","State of Residence","State of Residence Code","2023 Metro/Nonmetro","2023 Metro/Nonmetro Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",151
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",7936
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",733
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","Unknown or Not Stated","9",15
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Other","4","At least one checked","0",16
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",690
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",115
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","Unknown or Not Stated","9",10
,"California","06","Nonmetro","Nonmetro","Unknown or Not Stated","9","Medicaid","1","At least one checked","0",10
,"California","06","Nonmetro","Nonmetro","Unknown or Not Stated","9","Medicaid","1","None checked","1",209
,"California","06","Nonmetro","Nonmetro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",251
,"California","06","Nonmetro","Nonmetro","Unknown or Not Stated","9","Self Pay","3","None checked","1",46
,"California","06","Nonmetro","Nonmetro","Unknown or Not Stated","9","Other","4","None checked","1",20
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",152
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",8321
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","Unknown or Not Stated","9",20
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",58
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",3268
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","At least one checked","0",18
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",653
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Other","4","At least one checked","0",11
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Other","4","None checked","1",264
,"Nebraska","31","Metro","Metro","Hispanic or Latino","2135-2","Unknown or Not Stated","9","None checked","1",49
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",221
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",12581
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","Unknown or Not Stated","9",15
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",460
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",27909
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","Unknown or Not Stated","9",11
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","At least one checked","0",15
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",871
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","At least one checked","0",53
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",1779
,"Nebraska","31","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",163
,"Nebraska","31","Metro","Metro","Unknown or Not Stated","9","Medicaid","1","None checked","1",16
,"Nebraska","31","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",12
,"Nebraska","31","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",83
,"Nebraska","31","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",3695
,"Nebraska","31","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",33
,"Nebraska","31","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",1719
,"Nebraska","31","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",176
,"Nebraska","31","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Other","4","None checked","1",34
,"Nebraska","31","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Unknown or Not Stated","9","None checked","1",89
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",154
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",6348
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",307
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",14706
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","At least one checked","0",14
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",541
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",304
,"Nebraska","31","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",160
,"New Hampshire","33","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",18
,"New Hampshire","33","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",919
,"New Hampshire","33","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",37
,"New Hampshire","33","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",1207
,"New Hampshire","33","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","At least one checked","0",18
,"New Hampshire","33","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",176
,"New Hampshire","33","Metro","Metro","Hispanic or Latino","2135-2","Other","4","None checked","1",257
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",129
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",3896
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","Unknown or Not Stated","9",14
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",630
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",18925
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","Unknown or Not Stated","9",45
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","At least one checked","0",17
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",560
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","At least one checked","0",17
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",507
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",137
,"New Hampshire","33","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","Unknown or Not Stated","9",11
,"New Hampshire","33","Metro","Metro","Unknown or Not Stated","9","Medicaid","1","None checked","1",29
,"New Hampshire","33","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",155
,"New Hampshire","33","Metro","Metro","Unknown or Not Stated","9","Self Pay","3","None checked","1",13
,"New Hampshire","33","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",150
,"New Hampshire","33","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",12
,"New Hampshire","33","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",233
,"New Hampshire","33","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",50
,"New Hampshire","33","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Other","4","None checked","1",20
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",71
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",3350
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",261
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",8493
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","Unknown or Not Stated","9",14
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","At least one checked","0",19
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",529
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Other","4","At least one checked","0",18
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",349
,"New Hampshire","33","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",91
,"New Hampshire","33","Nonmetro","Nonmetro","Unknown or Not Stated","9","Medicaid","1","None checked","1",26
,"New Hampshire","33","Nonmetro","Nonmetro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",42
,"New Hampshire","33","Nonmetro","Nonmetro","Unknown or Not Stated","9","Self Pay","3","None checked","1",14
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",2940
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",363317
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",1506
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",188695
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","At least one checked","0",290
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",44340
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Other","4","At least one checked","0",32
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Other","4","None checked","1",4434
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Unknown or Not Stated","9","At least one checked","0",80
,"Texas","48","Metro","Metro","Hispanic or Latino","2135-2","Unknown or Not Stated","9","None checked","1",9500
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",1509
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",175350
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",3543
